,Name,Card Type,Attribute,Type of Spell and Trap,Type,Level/Rank/Link,Abilities/Other,Cid,Release Name,Release Date,Release Link
451,Skill Drain,Trap,,Continuous Trap,,,,5740,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
452,Macro Cosmos,Trap,,Continuous Trap,,,,6682,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
453,Typhoon,Trap,,Normal Trap,,,,11430,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
454,Solemn Strike,Trap,,Counter Trap,,,,12187,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
455,Transaction Rollback,Trap,,Normal Trap,,,,19049,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
456,Exodia the Forbidden One,Effect,DARK,,Spellcaster,3,,4027,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
457,Right Arm of the Forbidden One,Normal,DARK,,Spellcaster,1,,4025,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
458,Left Arm of the Forbidden One,Normal,DARK,,Spellcaster,1,,4026,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
459,Right Leg of the Forbidden One,Normal,DARK,,Spellcaster,1,,4023,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
460,Left Leg of the Forbidden One,Normal,DARK,,Spellcaster,1,,4024,ESSENTIAL SELECTION 01,2024/07/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001356000&rp=99999&request_locale=ae
461,The End of Anubis,Effect,DARK,,Fiend,6,,6073,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
462,Soul Release,Spell,,Normal Spell,,,,4857,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
463,King of the Feral Imps,Xyz,DARK,,Reptile,4,,10537,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
464,Dyna Mondo,Link,EARTH,,Cyberse,2,,18195,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
465,Gozen Match,Trap,,Continuous Trap,,,,7934,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
466,Mezuki,Effect,EARTH,,Zombie,4,,7359,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
467,"Kumongous, the Sticky String Kaiju",Effect,EARTH,,Insect,7,,12039,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
468,"Jizukiru, the Star Destroying Kaiju",Effect,LIGHT,,Machine,10,,12249,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
469,Fantastical Dragon Phantazmay,Effect,DARK,,Dragon,7,,14097,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
470,Dogmatika Maximus,Effect,LIGHT,,Spellcaster,8,,15243,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
471,Gear Gigant X,Xyz,EARTH,,Machine,4,,10176,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
472,Bujintei Kagutsuchi,Xyz,LIGHT,,Beast-Warrior,4,,10784,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
473,Tornado Dragon,Xyz,WIND,,Wyrm,4,,13019,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
474,"Sacred Tree Beast, Hyperyton",Xyz,EARTH,,Plant,9,,15738,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
475,Underclock Taker,Link,DARK,,Cyberse,2,,13410,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
476,Qliphort Genius,Link,EARTH,,Machine,2,,13502,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
477,Benghalancer the Resurgent,Link,LIGHT,,Plant,4,,16009,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
478,Messenger of Peace,Spell,,Continuous Spell,,,,4938,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
479,Limiter Removal,Spell,,Quick-play Spell,,,,5129,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
480,Burial from a Different Dimension,Spell,,Quick-play Spell,,,,6941,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
481,Heat Wave,Spell,,Normal Spell,,,,9139,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
482,Supply Squad,Spell,,Continuous Spell,,,,11147,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
483,Threatening Roar,Trap,,Normal Trap,,,,6278,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
484,Gravity Collapse,Trap,,Counter Trap,,,,9144,TOURNAMENT PACK 2024 Vol.3,2024/07/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001378000&rp=99999&request_locale=ae
485,Magicians of Bonds and Unity,Effect,LIGHT,,Spellcaster,8,,18868,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
486,Gandora-G the Dragon of Destruction,Effect,DARK,,Dragon,8,,19842,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
487,Silent Swordsman Zero,Effect,LIGHT,,Warrior,4,,19843,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
488,Silent Magician Zero,Effect,LIGHT,,Spellcaster,4,,19844,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
489,Gadget Trio,Effect,EARTH,,Machine,4,,19845,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
490,Moremarshmallon,Effect,LIGHT,,Fairy,3,,19846,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
491,Ancient Gear Dark Golem,Effect,EARTH,,Machine,8,,19847,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
492,Ancient Gear Tanker,Effect,EARTH,,Machine,4,,19848,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
493,Ancient Gear Commander,Effect,EARTH,,Machine,4,,19849,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
494,Refrain the Melodious Songstress,Pendulum,LIGHT,,Fairy,4,,19850,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
495,Couplet the Melodious Songstress,Pendulum,LIGHT,,Fairy,5,,19851,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
496,Snake-Eyes Diabellstar,Effect,FIRE,,Spellcaster,8,,19852,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
497,Diabellze the Original Sinkeeper,Effect,LIGHT,,Illusion,7,,19853,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
498,Ragnaraika the Evil Seed,Effect,EARTH,,Plant,1,,19854,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
499,Ragnaraika Samurai Beetle,Effect,LIGHT,,Insect,3,,19855,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
500,Ragnaraika Armored Lizard,Effect,DARK,,Reptile,4,,19856,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
501,Tenpai Dragon Paidra,Effect,FIRE,,Dragon,3,,19857,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
502,Tenpai Dragon Fadra,Effect,FIRE,,Dragon,3,,19858,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
503,Tenpai Dragon Chundra,Tuner,FIRE,,Dragon,4,,19859,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
504,Gruesome Grave Squirmer,Effect,DARK,,Fiend,1,,19860,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
505,Gold Pride - Eliminator,Tuner,EARTH,,Machine,5,,19861,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
506,Centur-Ion Gargoyle II,Effect,DARK,,Dragon,8,,19862,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
507,Selettrice Vaalmonica,Effect,WATER,,Spellcaster,4,,19863,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
508,Lightsworn Dragonling,Effect,LIGHT,,Dragon,4,,19864,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
509,"Weiss, Lightsworn Archfiend",Tuner,LIGHT,,Fiend,4,,19865,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
510,Wightlord,Effect,LIGHT,,Zombie,1,,19866,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
511,Golgoil the Steel Seismic Smasher,Effect,EARTH,,Illusion,10,,19867,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
512,"Mikazukinoyaiba, the Moon Fang Dragon",Effect,DARK,,Dragon,7,,19868,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
513,Talons of Shurilane,Effect,LIGHT,,Illusion,6,,4791,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
514,Nightmare Apprentice,Effect,DARK,,Illusion,6,,19870,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
515,Dinovatus Docus,Effect,EARTH,,Dinosaur,6,,19871,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
516,Cyclos the Circular Sprite,Tuner,WIND,,Plant,4,,19872,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
517,Fishborg Harpooner,Tuner,WATER,,Fish,4,,19873,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
518,Cooling Embers,Effect,FIRE,,Pyro,3,,19874,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
519,"Saffira, Divine Dragon of the Voiceless Voice",Ritual,LIGHT,,Dragon,7,,19875,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
520,Bacha the Melodious Maestra,Fusion,LIGHT,,Fairy,7,,19876,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
521,Flowering Etoile the Melodious Magnificat,Fusion,LIGHT,,Fairy,8,,19877,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
522,Mementotlan Twin Dragon,Fusion,LIGHT,,Thunder,7,,19878,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
523,Enlightenment Dragon,Fusion,LIGHT,,Dragon,10,,19879,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
524,Sangenpai Bident Dragion,Synchro,FIRE,,Dragon,7,Tuner,19880,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
525,Sangenpai Transcendent Dragion,Synchro,FIRE,,Dragon,10,,19881,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
526,Gold Pride - Eradicator,Synchro,DARK,,Warrior,8,,19882,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
527,Centur-Ion Auxila,Synchro,DARK,,Dragon,12,,19883,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
528,"Minerva, the Athenian Lightsworn",Synchro,LIGHT,,Fairy,8,,19884,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
529,Goblin Biker Troika Griare,Xyz,LIGHT,,Warrior,3,,19885,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
530,"Varudras, the Final Bringer of the End Times",Xyz,DARK,,Wyrm,10,,19886,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
531,Tantrum Toddler,Xyz,FIRE,,Beast,1,,19887,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
532,Ragnaraika Skeletal Soldier,Link,FIRE,,Plant,2,,19888,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
533,Ragnaraika Mantis Monk,Link,WIND,,Insect,3,,19889,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
534,Ragnaraika Chain Coils,Link,FIRE,,Reptile,4,,19890,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
535,Ragnaraika Stag Sovereign,Link,EARTH,,Insect,5,,19891,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
536,Shining Sarcophagus,Spell,,Continuous Spell,,,,19892,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
537,Turn Silence,Spell,,Quick-play Spell,,,,19893,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
538,Ties That Bind,Spell,,Normal Spell,,,,19894,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
539,Future Silence,Spell,,Quick-play Spell,,,,19895,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
540,Ancient Gear Advance,Spell,,Continuous Spell,,,,19896,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
541,Melodious Concerto,Spell,,Normal Spell,,,,19897,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
542,Sinful Spoils Struggle,Spell,,Quick-play Spell,,,,19898,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
543,Ragnaraika Bloom,Spell,,Continuous Spell,,,,19899,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
544,Sangen Summoning,Spell,,Field Spell,,,,19900,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
545,Sangen Kaimen,Spell,,Quick-play Spell,,,,19901,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
546,Nightmare Throne,Spell,,Field Spell,,,,19902,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
547,Blessing of the Voiceless Voice,Spell,,Continuous Spell,,,,19903,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
548,Mementotlan Fusion,Spell,,Quick-play Spell,,,,19904,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
549,Wake Up Centur-Ion!,Spell,,Quick-play Spell,,,,19905,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
550,Vaalmonica Invitare,Spell,,Quick-play Spell,,,,19906,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
551,Vaalmonica Disarmonia,Spell,,Normal Spell,,,,19907,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
552,Way Where There's a Will,Spell,,Field Spell,,,,19908,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
553,Blink Out,Spell,,Quick-play Spell,,,,19909,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
554,Metaltronus,Spell,,Quick-play Spell,,,,19910,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
555,In Papa's Footsteps,Spell,,Quick-play Spell,,,,19911,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
556,Stronghold the Hidden Fortress,Trap,,Continuous Trap,,,,19912,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
557,Ancient Gear Duel,Trap,,Continuous Trap,,,,19913,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
558,Goblin Biker Grand Pileup,Trap,,Normal Trap,,,,19914,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
559,Sinful Spoils Subdual,Trap,,Normal Trap,,,,19915,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
560,Sinful Spoils of Slumber - Morrian,Trap,,Normal Trap,,,,19916,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
561,Ragnaraika Hunting Dance,Trap,,Normal Trap,,,,19917,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
562,Lightsworn Aegis,Trap,,Normal Trap,,,,19918,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
563,Mirage Mirror Force,Trap,,Normal Trap,,,,19919,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
564,Zoma the Earthbound Spirit,Trap,,Continuous Trap,,,,19920,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
565,Simultaneous Equation Cannons,Trap,,Normal Trap,,,,19921,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
566,Gandora the Dragon of Destruction,Effect,DARK,,Dragon,8,,6076,LEGACY OF DESTRUCTION,2024/06/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001352000&rp=99999&request_locale=ae
